algorithm,input_size_bytes,trial_number,encryption_time_seconds,decryption_time_seconds,ciphertext_size_bytes,input_size_MB,encryption_throughput_MBps,decryption_throughput_MBps,encryption_time_per_byte,decryption_time_per_byte,encryption_ns_per_byte,decryption_ns_per_byte,ciphertext_expansion_ratio
3DES,4096,2,0.1667952169955242,0.1630525270011276,4104,0.00390625,0.023419436542384913,0.023957003745013937,4.07214885242979e-05,3.980774584988467e-05,40721.4885242979,39807.74584988467,1.001953125
3DES,4096,3,0.163309516996378,0.1629588530049659,4104,0.00390625,0.023919304103303642,0.023970775002208462,3.987048754794385e-05,3.9784876221915504e-05,39870.48754794385,39784.8762219155,1.001953125
3DES,4096,4,0.1631593159982003,0.1631237700057681,4104,0.00390625,0.023941323706230096,0.023946540714831897,3.983381738237312e-05,3.982513916156448e-05,39833.81738237312,39825.13916156448,1.001953125
3DES,4096,5,0.1635731679853052,0.163094725983683,4104,0.00390625,0.02388075041959769,0.023950805131435125,3.99348554651624e-05,3.9818048335860105e-05,39934.8554651624,39818.048335860105,1.001953125
3DES,4096,6,0.1602819699910469,0.1575097200111486,4104,0.00390625,0.024371112984312562,0.02480005678204186,3.9131340329845436e-05,3.8454521487096827e-05,39131.340329845436,38454.52148709683,1.001953125
3DES,4096,7,0.1609377929999027,0.1613703199836891,4104,0.00390625,0.024271800471393077,0.024206743844808847,3.929145336911687e-05,3.9397050777267843e-05,39291.453369116876,39397.05077726785,1.001953125
3DES,4096,8,0.1601015839842148,0.1609907719830516,4104,0.00390625,0.024398571849140082,0.024263813086201194,3.9087300777396194e-05,3.9304387691174704e-05,39087.300777396194,39304.38769117471,1.001953125
3DES,4096,9,0.1625091040041297,0.1605080320150591,4104,0.00390625,0.024037114867735247,0.024336788327412238,3.967507421975823e-05,3.9186531253676535e-05,39675.07421975823,39186.531253676534,1.001953125
3DES,4096,10,0.1645149049872998,0.1628376269945874,4104,0.00390625,0.023744049211234415,0.023988620272204293,4.016477172541499e-05,3.975528002797544e-05,40164.77172541499,39755.28002797544,1.001953125
AES,16384,1,0.2039252360118553,0.371581421000883,16400,0.015625,0.07662121817572216,0.042050003355692187,1.2446608643301715e-05,2.2679530090385924e-05,12446.608643301715,22679.530090385924,1.0009765625
AES,16384,2,0.2059120429912582,0.3733362030179705,16400,0.015625,0.0758819143019398,0.04185235686678876,1.2567873717728162e-05,2.278663348498355e-05,12567.873717728162,22786.63348498355,1.0009765625
AES,16384,3,0.202962331008166,0.3548379440035205,16400,0.015625,0.07698472875427975,0.04403418592642105,1.2387837585947631e-05,2.1657589355683623e-05,12387.837585947631,21657.589355683624,1.0009765625
AES,16384,4,0.1939783759880811,0.3471372519852593,16400,0.015625,0.08055021556093485,0.045011014838198624,1.1839500487553778e-05,2.1187576415115924e-05,11839.500487553778,21187.576415115924,1.0009765625
AES,16384,5,0.1923791129956953,0.3491203510202467,16400,0.015625,0.08121983596186778,0.044755339968977785,1.1741889220928668e-05,2.1308615174575604e-05,11741.889220928668,21308.615174575603,1.0009765625
AES,16384,6,0.1931440299958922,0.3531256119895261,16400,0.015625,0.08089817738778834,0.04424771092634155,1.1788576049553967e-05,2.1553076903657598e-05,11788.576049553967,21553.0769036576,1.0009765625
AES,16384,7,0.1951293830061331,0.3430693160044029,16400,0.015625,0.08007507510803173,0.04554473184013773,1.190975238074543e-05,2.0939289306909355e-05,11909.752380745429,20939.289306909355,1.0009765625
AES,16384,8,0.1909915359865408,0.347061380976811,16400,0.015625,0.08180990806368034,0.04502085468577095,1.1657198241366016e-05,2.1182945616260437e-05,11657.198241366017,21182.945616260437,1.0009765625
AES,16384,9,0.1926383270183578,0.347797364986036,16400,0.015625,0.08111054659704861,0.04492558476004366,1.1757710389304066e-05,2.1227866515260985e-05,11757.710389304066,21227.866515260983,1.0009765625
AES,16384,10,0.1954768220020923,0.3507781540101859,16400,0.015625,0.07993275028705325,0.044543822987181465,1.1930958374151141e-05,2.140979943909826e-05,11930.958374151141,21409.79943909826,1.0009765625
DES,16384,1,0.2253872459987178,0.2231632379989605,16392,0.015625,0.06932512942675066,0.0700160122254221,1.3756545776288928e-05,1.3620803100522492e-05,13756.545776288927,13620.803100522493,1.00048828125
DES,16384,2,0.2265724769968073,0.226714531017933,16392,0.015625,0.06896248038202882,0.06891927010520588,1.3828886535449664e-05,1.3837556824825013e-05,13828.886535449665,13837.556824825013,1.00048828125
DES,16384,3,0.2246102269855328,0.223096182977315,16392,0.015625,0.0695649535183739,0.07003705662498398,1.370912029940996e-05,1.3616710386799012e-05,13709.12029940996,13616.710386799012,1.00048828125
DES,16384,4,0.2219812240218743,0.2227922659949399,16392,0.015625,0.07038883612273573,0.0701325960765392,1.3548658692741352e-05,1.3598160766292718e-05,13548.658692741352,13598.160766292718,1.00048828125
DES,16384,5,0.2262225440063048,0.2241539559909142,16392,0.015625,0.06906915519243977,0.06970655472452755,1.3807528320697314e-05,1.3681271727961072e-05,13807.528320697314,13681.271727961072,1.00048828125
DES,16384,6,0.2241897030035033,0.2248885559965856,16392,0.015625,0.06969544002543165,0.06947885778695305,1.3683453552459918e-05,1.3726108154088477e-05,13683.453552459918,13726.108154088477,1.00048828125
DES,16384,7,0.2257431710022501,0.2252941339975223,16392,0.015625,0.06921582580163303,0.06935378086751179,1.3778269714492805e-05,1.375086267074721e-05,13778.269714492804,13750.86267074721,1.00048828125
DES,16384,8,0.2269823509850539,0.2268875750014558,16392,0.015625,0.06883795119836811,0.06886670634079343,1.3853903258365106e-05,1.3848118591397448e-05,13853.903258365106,13848.118591397448,1.00048828125
DES,16384,9,0.2246278400125447,0.2185722670110408,16392,0.015625,0.0695594989433518,0.0714866538818977,1.3710195313265668e-05,1.3340592468935595e-05,13710.195313265669,13340.592468935596,1.00048828125
